Location,Population,HighestInfectionCount,PercentPopulationInfected
Cyprus,896007.0,658450.0,73.49
San Marino,33690.0,24132.0,71.63
Austria,8939617.0,6065711.0,67.85
Faeroe Islands,53117.0,34658.0,65.25
Brunei,449002.0,288051.0,64.15
Slovenia,2119843.0,1343485.0,63.38
Gibraltar,32677.0,20550.0,62.89
Martinique,367512.0,229900.0,62.56
South Korea,51815808.0,31176660.0,60.17
Andorra,79843.0,47974.0,60.09
Jersey,110796.0,66391.0,59.92
Saint Pierre and Miquelon,5885.0,3426.0,58.22
Denmark,5882259.0,3411909.0,58.0
Greece,10384972.0,6018544.0,57.95
France,67813000.0,38930489.0,57.41
Iceland,372903.0,209191.0,56.1
Guernsey,63329.0,35326.0,55.78
Liechtenstein,39355.0,21464.0,54.54
Portugal,10270857.0,5581619.0,54.34
Latvia,1850654.0,977667.0,52.83
Guadeloupe,395762.0,202653.0,51.21
Israel,9449000.0,4822313.0,51.04
Reunion,974062.0,494595.0,50.78
Falkland Islands,3801.0,1923.0,50.59
Switzerland,8740471.0,4402432.0,50.37
Saint Barthelemy,10994.0,5486.0,49.9
Luxembourg,647601.0,319959.0,49.41
Georgia,3744385.0,1840187.0,49.15
Netherlands,17564020.0,8610372.0,49.02
Lithuania,2750058.0,1318513.0,47.94
Seychelles,107135.0,50937.0,47.54
Bahrain,1472237.0,696614.0,47.32
Estonia,1326064.0,618173.0,46.62
Montenegro,627082.0,289292.0,46.13
Germany,83369840.0,38403667.0,46.06
Monaco,36491.0,16749.0,45.9
Cayman Islands,68722.0,31472.0,45.8
Isle of Man,84534.0,38008.0,44.96
Czechia,10493990.0,4640354.0,44.22
Bonaire Sint Eustatius and Saba,27052.0,11885.0,43.93
Italy,59037472.0,25788387.0,43.68
New Zealand,5185289.0,2251440.0,43.42
Australia,26177410.0,11210651.0,42.83
Nauru,12691.0,5393.0,42.49
Singapore,5637022.0,2368597.0,42.02
Cook Islands,17032.0,7062.0,41.46
Aruba,106459.0,44114.0,41.44
Belgium,11655923.0,4793425.0,41.12
European Union,450146793.0,183867312.0,40.85
Saint Helena,5401.0,2166.0,40.1
Saint Martin (French part),31816.0,12300.0,38.66
Marshall Islands,41593.0,16081.0,38.66
Niue,1952.0,747.0,38.27
Barbados,281646.0,107466.0,38.16
Serbia,6871547.0,2534886.0,36.89
United Kingdom,67508936.0,24581706.0,36.41
Maldives,523798.0,186435.0,35.59
Puerto Rico,3252412.0,1116823.0,34.34
Ireland,5023108.0,1710302.0,34.05
High income,1250514600.0,420700805.0,33.64
Europe,744807803.0,249034855.0,33.44
Palau,18084.0,5999.0,33.17
Slovakia,5643455.0,1866470.0,33.07
French Guiana,304568.0,98041.0,32.19
Montserrat,4413.0,1403.0,31.79
Croatia,4030361.0,1272886.0,31.58
Oceania,45038860.0,13952488.0,30.98
United States,338289856.0,103266404.0,30.53
Uruguay,3422796.0,1037893.0,30.32
Guam,171783.0,51179.0,29.79
Mongolia,3398373.0,1007970.0,29.66
Wallis and Futuna,11596.0,3427.0,29.55
Bermuda,64207.0,18860.0,29.37
Spain,47558632.0,13825052.0,29.07
Northern Mariana Islands,49574.0,13839.0,27.92
New Caledonia,289959.0,80058.0,27.61
Norway,5434324.0,1483222.0,27.29
Japan,123951696.0,33720739.0,27.2
Chile,19603736.0,5283908.0,26.95
Finland,5540745.0,1473603.0,26.6
Sweden,10549349.0,2706122.0,25.65
French Polynesia,306292.0,78488.0,25.63
United States Virgin Islands,99479.0,24919.0,25.05
Sint Maarten (Dutch part),44192.0,11030.0,24.96
Anguilla,15877.0,3904.0,24.59
Tuvalu,11335.0,2779.0,24.52
Curacao,191173.0,45798.0,23.96
Costa Rica,5180836.0,1228659.0,23.72
Panama,4408582.0,1036733.0,23.52
British Virgin Islands,31332.0,7305.0,23.31
Mauritius,1299478.0,301096.0,23.17
Micronesia (country),114178.0,26080.0,22.84
Lebanon,5489744.0,1236702.0,22.53
Malta,533293.0,118524.0,22.22
Hungary,9967304.0,2201355.0,22.09
Argentina,45510324.0,10044957.0,22.07
Dominica,72758.0,15760.0,21.66
Greenland,56494.0,11971.0,21.19
North America,600323657.0,123963377.0,20.65
Turkey,85341248.0,17004677.0,19.93
Bulgaria,6781955.0,1304393.0,19.23
Moldova,3272993.0,620253.0,18.95
American Samoa,44295.0,8329.0,18.8
Qatar,2695131.0,506323.0,18.79
Belize,405285.0,70782.0,17.46
Brazil,215313504.0,37449418.0,17.39
Romania,19659270.0,3393902.0,17.26
Saint Lucia,179872.0,30052.0,16.71
North Macedonia,2093606.0,348142.0,16.63
Poland,39857144.0,6513979.0,16.34
Armenia,2780472.0,449062.0,16.15
Russia,144713312.0,22858855.0,15.8
Tonga,106867.0,16814.0,15.73
Grenada,125459.0,19693.0,15.7
South America,436816679.0,68484239.0,15.68
Kuwait,4268886.0,665741.0,15.6
Jordan,11285875.0,1746997.0,15.48
Kosovo,1782115.0,273852.0,15.37
Malaysia,33938216.0,5071840.0,14.94
Turks and Caicos Islands,45726.0,6565.0,14.36
Ukraine,39701744.0,5529459.0,13.93
Saint Kitts and Nevis,47681.0,6598.0,13.84
Palestine,5250076.0,703228.0,13.39
